,Cluster,Name,Category,Latitude,Longitude
136,3,Livingston Designer Outlet,Outlet Mall,55.88391953,-3.51792917
137,3,The Centre,Shopping Mall,55.88393499058604,-3.5148596611249223
138,3,TK Maxx,Clothing Store,55.88177566531825,-3.5206218749597387
139,3,Boots,Pharmacy,55.883435,-3.514018
140,3,Hobbycraft,Arts & Crafts Store,55.88087556300567,-3.5219610059741218
141,3,Home Bargains,Discount Store,55.87888356,-3.52101443
142,3,Prezzo,Italian Restaurant,55.882473,-3.51789
143,3,ASK Italian,Italian Restaurant,55.88276679974317,-3.5170327964822263
144,3,Costa Coffee,Coffee Shop,55.88366033379517,-3.5149321890929492
145,3,The Saltire,Bar,55.902527496474406,-3.5459416248870914
146,3,Primark,Clothing Store,55.8848659,-3.5117476
147,3,Subway,Sandwich Place,55.88326729543763,-3.520144854689742
148,3,Lidl,Supermarket,55.88611563950257,-3.524775313236302
149,3,Co-op Food,Grocery Store,55.893686618064294,-3.540962129445682
150,3,wagamama,Asian Restaurant,55.8828565,-3.5170462
151,3,Xcite Livingston,Gym / Fitness Center,55.88397823633543,-3.5185507345434024
152,3,Dunelm,Furniture / Home Store,55.8812062,-3.5243928
153,3,Superdrug,Pharmacy,55.884085624415164,-3.51277032976085
154,3,hmv,Music Store,55.88434367768131,-3.5124733177909775
155,3,Currys PC World Featuring Carphone Warehouse,Electronics Store,55.881786,-3.5221027
156,3,Next,Clothing Store,55.88268865,-3.52272081
157,3,Costa Coffee,Coffee Shop,55.88284988758662,-3.5204483355576373
158,3,Pizza Hut,Pizza Place,55.88279970328037,-3.5181294357337265
159,3,Morrisons,Supermarket,55.87673182228131,-3.526982370644492
160,3,Frankie & Benny's,American Restaurant,55.8795617,-3.5204254
161,3,Aldi,Supermarket,55.88017966057085,-3.519356640112345
162,3,Asda,Supermarket,55.8849683,-3.5099294
163,3,Almondvale Stadium,Soccer Stadium,55.88654692595884,-3.5225950106510777
164,3,The Almond Bank (Wetherspoon),Pub,55.88246866871489,-3.517731897408143
165,3,The Lime Kiln,Gastropub,55.883774795337516,-3.521064949906211
166,3,WHSmith,Bookstore,55.88407353159123,-3.5110158311733812
167,3,Farmfoods,Grocery Store,55.8979951255141,-3.5323549978899536
168,3,Debenhams,Department Store,55.883617273333456,-3.51672083758594
169,3,Game,Video Game Store,55.88400105576704,-3.513822555541992
170,3,Argos,Warehouse Store,55.883686,-3.513198999999986
171,3,Deer Park Bowling,Bowling Alley,55.91041328271131,-3.5356673401483203
